"ácido acetilsalicílico",Bayer,ASPIRINA,170560020,500mg,com,12/11/2012
"ácido acetilsalicílico",Bayer,ASPIRINA,170560020,500mg,com efer,12/11/2012
"ácido acetilsalicílico",Bayer,ASPIRINA BUFFERED,170560022,500mg,com (tamponado),12/11/2012
"ácido acetilsalicílico",Bayer,ASPIRINA PREVENT,170560022,100mg,com rev lib retard,12/11/2012
"ácido acetilsalicílico",Bayer,ASPIRINA PREVENT,170560022,300mg,com rev lib retard,12/11/2012
"ácido acetilsalicílico",Cimed,ÁCIDO ACETILSALICÍLICO,143810104,100mg,com,12/11/2012
"ácido acetilsalicílico",Novartis Biociências,BUFFERIN CARDIO,100681045,81mg,com rev,12/11/2012
"ácido tióctico",Merck S/A,THIOCTACID,100890330,600mg,com rev,21/01/2013
"ácido ursodesoxicólico",Zambon,URSACOL,100840067,50mg,com,23/09/2014
"ácido ursodesoxicólico",Zambon,URSACOL,100840067,150mg,com,23/09/2014
"ácido ursodesoxicólico",Zambon,URSACOL,100840067,300mg,com,23/09/2014
"ácido valpróico",Abbott,DEPAKENE,105530315,250mg,cap mole,12/11/2012
acitretina,Glenmark,NEOTIGASON,110130271,10mg,cap dura,12/11/2012
acitretina,Glenmark,NEOTIGASON,110130271,25 mg,cap dura,12/11/2012
adapaleno,Galderma,DIFFERIN,129160025,"1,0 mg/g",gel,12/11/2012
adapaleno,Galderma,DIFFERIN,129160025,"3,0 mg/g",gel,12/11/2012
adapaleno,Galderma,DIFFERIN,129160025,"1,0 mg/g",crem derm,12/11/2012
adapaleno,Glenmark,DERIVA MICRO,110130264,1mg/g,gel derm lib prol,31/10/2019
adenosina,Libbs,ADENOCARD,100330038,"3,0 mg/mL",sol inj,12/11/2012
agomelatina,Servier,VALDOXAN,112780073,25 mg,com rev,21/01/2013
albendazol,Glaxosmithkline,ZENTEL,101070089,200 mg,com,12/11/2012
albendazol,Glaxosmithkline,ZENTEL,101070089,400 mg,com mast,12/11/2012
albendazol,Glaxosmithkline,ZENTEL,101070089,40 mg/mL,sus or,12/11/2012
alcaftadina,Allergan,LASTACAFT,101470179,"2,5mg/ml",sol oft,01/07/2014
alendronato sódico,Sandoz,ALENDRONATO DE SÓDIO,100470474,70 mg,com rev,30/10/2018
alfaestradiol,Galderma,AVICIS,129160046,"0,25 mg/mL",sol capilar,12/11/2012
alfentanila (cloridrato),Janssen Cilag,RAPIFEN,112360025,"0,544 mg/mL",sol inj,12/11/2012
alfuzosina (cloridrato),Sanofi-Aventis,XATRAL OD,113001018,10 mg,com rev,12/11/2012
alisquireno (hemifumarato),Novartis Biociências,RASILEZ,100681055,150,com rev,12/11/2012
alisquireno (hemifumarato),Novartis Biociências,RASILEZ,100681055,300mg,com rev,22/01/2013
alopurinol,Aspen Pharma,ZYLORIC,137640122,100mg,com,28/09/2016
alopurinol,Aspen Pharma,ZYLORIC,137640122,300mg,com,28/09/2016
alprazolam,Pfizer,FRONTAL,102160131,"0,25mg",com,12/11/2012
alprazolam,Pfizer,FRONTAL,102160131,"0,5mg",com,12/11/2012
alprazolam,Pfizer,FRONTAL,102160131,1mg,com,12/11/2012
alprazolam,Pfizer,FRONTAL,102160131,2mg,com,12/11/2012
alprazolam,Pfizer,FRONTAL XR,123890015,"0,5mg",com rev lib lenta,12/11/2012
alprazolam,Pfizer,FRONTAL XR,123890015,"1,0mg",com rev lib lenta,12/11/2012
alprazolam,Pfizer,FRONTAL XR,123890015,"2,0mg",com rev lib lenta,12/11/2012
apremilastase,Celgene,OTEZLA,196140003,10mg,com rev,27/12/2019
apremilastase,Celgene,OTEZLA,196140003,30mg,com rev,27/12/2019
alprostadil,Pfizer,CAVERJECT,102160203,10μg/mL,pó liof sol inj,24/06/2013
alprostadil,Pfizer,CAVERJECT,102160203,20μg/mL,pó liof sol inj,24/06/2013
alprostadil,Aché,PROSTAVASIN,112130208,20 μg,pó liof sol inj,18/09/2017
amantadina (cloridrato),Eurofarma,MANTIDAN,100430519,100mg,com,13/09/2013
ambrisetana,Glaxosmithkline,VOLIBRIS,101070281,5mg,com rev,27/12/2019
ambrisetana,Glaxosmithkline,VOLIBRIS,101070281,10mg,com rev,27/12/2019
ambroxol (cloridrato),Sanofi-Aventis,MUCOSOLVAN,113001173,3 mg/ml,xpe,12/11/2012
ambroxol (cloridrato),Sanofi-Aventis,MUCOSOLVAN,113001173,6 mg/ml,xpe,12/11/2012
ambroxol (cloridrato),Sanofi-Aventis,MUCOSOLVAN,113001173,"7,5mg/mL",sol (got),12/11/2012
ambroxol (cloridrato),Sanofi-Aventis,MUCOSOLVAN 24 H,113001173,75mg,cap lib cont,23/07/2013
amicacina (sulfato),Teuto,SULFATO DE AMICACINA,103700297,50mg/ml,sol inj,12/11/2012
amicacina (sulfato),Teuto,SULFATO DE AMICACINA,103700297,125mg/ml,sol inj,12/11/2012
amicacina (sulfato),Teuto,SULFATO DE AMICACINA,103700297,250mg/ml,sol inj,12/11/2012
aminofilina,Hipolabor,AMINOFILINA,113430118,24 mg/ml,sol inj,12/11/2012
aminofilina,Teuto,AMINOFILINA,103700445,100mg,com,19/01/2018
aminofilina,Teuto,AMINOFILINA,103700445,200mg,com,19/01/2018
amiodarona (cloridrato),Sanofi-Aventis,ATLANSIL,113001068,100mg,com,12/11/2012
amiodarona (cloridrato),Sanofi-Aventis,ATLANSIL,113001068,200mg,com,12/11/2012
amiodarona (cloridrato),Hypolabor,CLORIDRATO DE AMIODARONA,113430122,50mg/mL,sol inj,12/04/2018
amisulprida,Sanofi-Aventis,SOCIAN,113001028,50mg,com,12/11/2012
amisulprida,Sanofi-Aventis,SOCIAN,113001028,200mg,com,12/11/2012
amitriptilina (cloridrato),Cristalia,AMYTRIL,102980225,25mg,com rev,07/10/2013
amitriptilina (cloridrato),Cristalia,AMYTRIL,102980225,75mg,com rev,07/10/2013
amitriptilina (cloridrato),Cristalia,AMYTRIL,102980364,10mg,com rev,15/02/2019
amorolfina,Galderma,LOCERYL,129160036,50mg/mL,esml,12/11/2012
amoxicilina,Glaxosmithkline,AMOXIL,101070003,500mg,cap dura,10/05/2013
amoxicilina,Glaxosmithkline,AMOXIL,101070003,125mg/5mL,pó sus or,23/07/2013
amoxicilina,Glaxosmithkline,AMOXIL,101070003,250mg/5mL,pó sus or,23/07/2013
amoxicilina,Glaxosmithkline,AMOXIL,101070003,500mg/5mL,pó sus or,23/07/2013
amoxicilina,Aché,NOVOCILIN,105730076,400mg/5ml,pó sus or,31/07/2019
amoxicilina,Aché,NOVOCILIN,105730076,875mg,com rev,31/07/2019
ampicilina,Eurofarma,AMPLACILINA,100430687,500mg,cap dura,15/06/2018
ampicilina sódica,Teuto,ampicilina sódica,103700299,1g,pó sol inj,15/02/2019
anagrelida (cloridrato),Shire Farmacêutica Ltda,AGRYLIN,135690030,"0,5mg",cap dura,13/09/2013
anagrelida (cloridrato),Shire Farmacêutica Ltda,AGRYLIN,135690030,"1,0mg",cap dura,13/09/2013
anastrozol,Astrazeneca,ARIMIDEX,116180063,1mg,com rev,12/11/2012
anfotericina b,Teva Farmacêutica,ABELCET,155730034,5mg/ml,sus inj,12/11/2012
anfotericina b (lipossomal),United Medical,AMBISOME,125760007,50mg/12mL,pó sol inj,28/09/2016
anidulafungina,Pfizer,ECALTA,102160219,100mg/30mL,pó liof sol inj,12/11/2012
anlodipino (besilato),Wyeth,NORVASC,121100429,"5,0mg",com,12/11/2012
anlodipino (besilato),Wyeth,NORVASC,121100429,10mg,com,12/11/2012
anlodipino (besilato),Aché,CORDAREX,112130010,"2,5mg",com,26/07/2018
apixabana,Pfizer,ELIQUIS,102160252,"2,5mg",com rev,29/10/2014
apixabana,Pfizer,ELIQUIS,102160252,5mg,com rev,29/10/2014
aripiprazol,Aché,ARISTAB,105730425,10mg,com,29/07/2014
aripiprazol,Aché,ARISTAB,105730425,15mg,com,29/07/2014
aripiprazol,Aché,ARISTAB,105730425,20mg,com,29/07/2014
aripiprazol,Aché,ARISTAB,105730425,30mg,com,29/07/2014
atazanavir (sulfato),Bristol Myers Squibb,REYATAZ,101800301,100mg,cap dura,12/11/2012
atazanavir (sulfato),Bristol Myers Squibb,REYATAZ,101800301,150 mg,cap dura,12/11/2012
atazanavir (sulfato),Bristol Myers Squibb,REYATAZ,101800301,200 mg,cap dura,12/11/2012
atazanavir (sulfato),Bristol Myers Squibb,REYATAZ,101800301,300 mg,cap dura,12/11/2012
atazanavir (sulfato),Bristol Myers Squibb,REYATAZ,101800301,"50mg/1,5g",po sol extemp,12/11/2012
atenolol,Biolab Sanus,ABLOK,109740100,25mg,com,31/07/2019
atenolol,Biolab Sanus,ABLOK,109740100,50mg,com,31/07/2019
atenolol,Biolab Sanus,ABLOK,109740100,100mg,com,31/07/2019
atorvastatina cálcica,Wyeth,CITALOR,102160062,10mg,com rev,12/11/2012
atorvastatina cálcica,Wyeth,CITALOR,102160062,20mg,com rev,12/11/2012
atorvastatina cálcica,Wyeth,CITALOR,102160062,40mg,com rev,12/11/2012
atorvastatina cálcica,Wyeth,CITALOR,102160062,80mg,com rev,12/11/2012
atosibano (acetato),Ferring,TRACTOCILE,128760010,"7,5mg/mL",sol inj,12/11/2012
atosibano (acetato),Ferring,TRACTOCILE,128760010,"7,5mg/mL",sol infus,12/11/2012
atracúrio (besilato),Aspen Pharma,TRACRIUM,137640168,10mg/mL,sol inj,12/11/2012
atropina (sulfato),Ariston (blau),ATROPION,116370088,"0,25mg/mL",sol inj,28/09/2016
atropina (sulfato),Ariston (blau),ATROPION,116370088,"0,5mg/mL",sol inj,02/02/2018
axetilcefuroxima,Glaxosmithkline,ZINNAT,101070205,250mg/5mL,po sus or,12/11/2012
axetilcefuroxima,Glaxosmithkline,ZINNAT,101070205,250mg,com rev,12/11/2012
axetilcefuroxima,Glaxosmithkline,ZINNAT,101070205,500mg,com rev,13/11/2012
axetilcefuroxima,Glaxosmithkline,ZINNAT,101070205,250mg,com rev,12/11/2012
axetilcefuroxima,Glaxosmithkline,ZINNAT,101070205,500mg,com rev,12/11/2012
axitinibe,Pfizer,INLYTA,102160240,1mg,com rev,30/08/2017
axitinibe,Pfizer,INLYTA,102160240,5mg,com rev,30/08/2017
azacitidina,United Medical,VIDAZA,125760020,100mg/4mL,pó liof sus inj,01/07/2014
azatioprina,Aspen Pharma,IMURAN,137640128,50 mg,com rev,12/11/2012
"azelaico, ácido",Intendis,AZELAN,162040004,150 mg/g,gel,12/11/2012
"azelaico, ácido",Intendis,AZELAN,162040004,200 mg/g,crem derm,12/11/2012
azelastina (cloridrato),Mylan,RINO-LASTIN,105730344,"0,9 pcc",sol nas (spr),12/11/2012
azitromicina di-hidratada,Eurofarma,ASTRO,100430813,200mg/5ml,po sus or,23/9/2014; 29/01/2016
azitromicina di-hidratada,Pfizer,ZITROMAX,102160045,500mg,com rev,12/11/2012
azitromicina di-hidratada,Pfizer,ZITROMAX,102160045,"500mg/4,8mL",pó liof sol inj,24/06/2013
azitromicina di-hidratada,Germed,azitromicina,105830493,1000mg,com rev,24/01/2019
aztreonam,Novafarma,AZEUS,114020060,1000mg,pó sol inj,12/11/2012
baclofeno,Novartis Biociências,LIORESAL,100680059,10mg,com,12/11/2012
bambuterol (cloridrato),Cosmed,BAMBAIR,178170782,1 mg/ml,sol oral,27/08/2018
beclometasona (dipropionato),Chiesi,CLENIL HFA JET,100580111,50mcg/dose,sol aer inal or + espaç,12/11/2012
beclometasona (dipropionato),Chiesi,CLENIL HFA JET,100580111,100mcg/dose,sol aer inal or + espaç,12/11/2012
beclometasona (dipropionato),Chiesi,CLENIL HFA JET,100580111,200mcg/dose,sol aer inal or + espaç,12/11/2012
beclometasona (dipropionato),Chiesi,CLENIL HFA JET,100580111,250mcg/dose,sol aer inal or + espaç,13/11/2012
beclometasona (dipropionato),Chiesi,CLENIL HFA SPR,100580111,50mcg/dose,sol aer inal or + inal,12/11/2012
beclometasona (dipropionato),Chiesi,CLENIL HFA SPR,100580111,100mcg/dose,sol aer inal or + inal,12/11/2012
beclometasona (dipropionato),Chiesi,CLENIL HFA SPR,100580111,200mcg/dose,sol aer inal or + inal,12/11/2012
beclometasona (dipropionato),Chiesi,CLENIL HFA SPR,100580111,250mcg/dose,sol aer inal or + inal,12/11/2012
beclometasona (dipropionato),Chiesi,CLENIL HFA SPR JET,100580111,50mcg/dose,"sol aer inal or+ inal +espaç",12/11/2012
beclometasona (dipropionato),Chiesi,CLENIL HFA SPR JET,100580111,100mcg/dose,"sol aer inal or+ inal +espaç",12/11/2012
beclometasona (dipropionato),Chiesi,CLENIL HFA SPR JET,100580111,200mcg/dose,"sol aer inal or+ inal +espaç",12/11/2012
beclometasona (dipropionato),Chiesi,CLENIL HFA SPR JET,100580111,250mcg/dose,"sol aer inal or+ inal +espaç",13/11/2012
beclometasona (dipropionato),Chiesi,ALERFIN,100580104,100mcg/dose,sus nas,26/07/2018
beclometasona (dipropionato),Glaxosmithkline,BECLOSOL SPR NASAL,101070188,50 mcg/mg,sus spr nas,12/11/2012
benazepril (cloridrato),Novartis Biociências,LOTENSIN,100680063,5mg,com rev,12/11/2012
benazepril (cloridrato),Novartis Biociências,LOTENSIN,100680063,10 mg,com rev,13/11/2012
bendamustina (cloridrato),Janssen Cilag,RIBOMUSTIN,112363413,25mg,pó liof sol inj,18/09/2017
bendamustina (cloridrato),Janssen Cilag,RIBOMUSTIN,112363413,100mg,pó liof sol inj,18/09/2017
benfotiamina,Cosmed,MILGAMMA,178170796,150mg,drag,11/02/2015
benzidamina (cloridrato),Aché,FLOGORAL,105730313,"1,5mg/mL",colut spray,12/11/2012
benzidamina (cloridrato),Aché,FLOGORAL,105730313,"1,5mg/mL",colut,12/11/2012
benzidamina (cloridrato),Aché,FLOGORAL,105730313,3mg,past,12/11/2012
benzidamina (cloridrato),Aché,FLOGORAL,105730313,5mg/g,crem dental,12/11/2012
benzilpenicilina  benzatina,Eurofarma,BENZETACIL,100430686,"1.200.000UI(300.000UI/mLX4mL)",sus inj,12/11/2012; 10/12/2014
benzilpenicilina  benzatina,Eurofarma,BENZETACIL,100430686,"600.000 UI(150.000UI/mLX4mL)",sus inj,12/11/2012; 10/12/2014
benzoato de alogliptina,Takeda,NESINA,106390266,"6,25mg",com rev,13/03/2018
benzoato de alogliptina,Takeda,NESINA,106390266,"12,5mg",com rev,13/03/2018
benzoato de alogliptina,Takeda,NESINA,106390266,25mg,com rev,13/03/2018
betaistina (dicloridrato),Abbott,BETASERC,105530343,16mg,com,12/11/2012
betaistina (dicloridrato),Abbott,BETASERC,105530343,24mg,com,13/11/2012
betaistina (dicloridrato),Apsen Farmacêutica,LABIRIN,101180157,8mg,com,15/05/2018
betametasona (dipropionato),Schering Plough,DIPROSONE,100930033,"0,64mg/g",pom derm,12/11/2012
betametasona (dipropionato),Schering Plough,DIPROSONE,100930033,"0,64mg/g",crem derm,12/11/2012
betametasona (dipropionato),Schering Plough,DIPROSONE,100930033,"0,64mg/mL",loç derm,12/11/2012
betametasona (fosfato dissódico),Cosmed,CELESTONE INJETÁVEL,178170785,4mg/mL,sol inj,12/11/2012
betametasona (valerato),Glaxosmithkline,BETNOVATE,101070233,1mg/g,loção,12/11/2012
betametasona (valerato),Glaxosmithkline,BETNOVATE,101070233,1mg/g,solução capilar,12/11/2012
betametasona (valerato),Glaxosmithkline,BETNOVATE,101070233,1mg/g,crem derm,12/11/2012
betametasona (valerato),Glaxosmithkline,BETNOVATE,101070233,1mg/g,pom derm,12/11/2012
betametsona,Cosmed,CELESTONE,178170785,"0,1mg/mL",elx,12/11/2012
betametsona,Cosmed,CELESTONE,178170785,"0,5mg",com,12/11/2012
betametsona,Cosmed,CELESTONE,178170785,2mg,com,13/11/2012
betametsona,Cosmed,CELESTONE,178170785,"0,5mg",sol oral,12/11/2012
betaxolol (cloridrato),Novartis Biociências,BETOPTIC,100681111,"5,0mg/mL",sol oft,12/11/2012
betaxolol (cloridrato),Novartis Biociências,BETOPTIC,100681111,"2,5mg/mL",sus oft,12/11/2012
bezafibrato,Glenmark,CEDUR,101000558,200mg,com rev,12/11/2012
bezafibrato,Glenmark,CEDUR,101000558,400mg,com desint lenta,12/11/2012
bicalutamida,Astrazeneca,CASODEX,116180062,50mg,com rev,12/11/2012
bilastina,Nycomed,ALEKTOS,106390259,20mg,com,10/12/2014
bimatoprosta,Allergan,LATISSE,101470177,"0,3mg/ml",sol derm,29/01/2016
bimatoprosta,Allergan,LUMIGAN,101470155,"0,1mg/mL",sol oft,31/01/2013
bimatoprosta,Allergan,LUMIGAN,101470155,"0,3mg/mL",sol oft,12/11/2013
biperideno (cloridrato),Laboratórios Bagó,AKINETON,105530334,2mg,com,12/11/2012
biperideno (cloridrato),Laboratórios Bagó,AKINETON,105530334,4mg,com rev lib retard,12/11/2012
bisacodil,Sanofi-Aventis,DULCOLAX,113001169,5mg,drag,12/11/2012
bisoprolol (hemifumarato),Merck S/A,CONCOR,100890194,"1,25mg",com rev,13/09/2013
bisoprolol (hemifumarato),Merck S/A,CONCOR,100890194,"2,5mg",com rev,13/09/2013
bisoprolol (hemifumarato),Merck S/A,CONCOR,100890194,5mg,com rev,13/09/2013
bisoprolol (hemifumarato),Merck S/A,CONCOR,100890194,"10,0mg",com rev,13/09/2013
bleomicina (sulfato),Cipla,CINALEO,115410008,15 UI,pó liof,27/12/2019
bortezomibe,Janssen Cilag,VELCADE,112363373,1mg,pó liof sol inj,12/11/2012
bortezomibe,Janssen Cilag,VELCADE,112363373,"3,5 mg",pó liof sol inj,12/11/2012
bosentana,Actelion,BOSENTANA,155380003,"62,5mg",com rev,31/01/2013
bosentana,Actelion,BOSENTANA,155380003,125 mg,com rev,31/01/2013
brimonidina (tartarato),Allergan,ALPHAGAN,101470142,2mg/mL,sol oft,12/11/2012
brimonidina (tartarato),Allergan,ALPHAGAN - P,101470142,"1,5mg/mL",sol oft,12/11/2012
brimonidina (tartarato),Allergan,ALPHAGAN Z,101470142,1mg/ml,sol oft,12/11/2012
brinzolamida,Novartis Biociências,AZOPT,100230225,10mg/mL,sus oft,12/11/2012
bromazepam,Aché,SOMALIUM,105730152,"2,5mg/ml",sol oral,24/06/2013
bromazepam,Roche,LEXOTAN,101000043,"3,0mg",com,12/11/2012
bromazepam,Roche,LEXOTAN,101000043,"6,0mg",com,12/11/2012
brometo de glicopirrônio,Novartis,SEEBRI,100681117,50 mcg,"cap dura po inal or +inal",25/11/2016
brometo de pancurônio,Novafarma,BROMETO DE PANCURÔNIO,114020066,2mg/ml,sol inj,12/11/2012
bromexina (cloridrato),Boehringer Ingelheim,BISOLVON,103670010,"0,8mg/mL",xpe (infantil),12/11/2012
bromexina (cloridrato),Boehringer Ingelheim,BISOLVON,103670010,"1,6mg/mL",xpe (adulto),12/11/2012
bromexina (cloridrato),Boehringer Ingelheim,BISOLVON,103670010,"2,0mg/mL",sol oral,12/11/2012
bromidrato de galantamina,Janssen Cilag,REMINYL ER,112363352,"8,0mg",cap dura lib prol,12/11/2012
bromidrato de galantamina,Janssen Cilag,REMINYL ER,112363352,16mg,cap dura lib prol,12/11/2012
bromidrato de galantamina,Janssen Cilag,REMINYL ER,112363352,24mg,cap dura lib prol,12/11/2012
bromocriptina (mesilato),Novartis Biociências,PARLODEL,100680017,"2,5mg",com,12/11/2012
bromoprida,Sanofi-Aventis,DIGESAN,113001035,10mg,cap dura,12/11/2012
bromoprida,Sanofi-Aventis,DIGESAN,113001035,1mg/mL,sol oral,12/11/2012
bromoprida,Sanofi-Aventis,DIGESAN,113001035,4mg/mL,sol oral,12/11/2012
bromoprida,Sanofi-Aventis,DIGESAN,113001035,5mg/ml,sol inj,12/11/2012
buclizina (cloridrato),Sanofi-Aventis,BUCLINA,113001035,25mg,com,12/11/2012
budesonida,Janssen Cilag,BUDECORT AQUA,116180091,32mcg/dose,sus spr nas,12/11/2012
budesonida,Janssen Cilag,BUDECORT AQUA,116180091,64mcg/dose,sus spr nas,12/11/2012
budesonida,Astrazeneca,ENTOCORT CAPSULA,116180097,3mg,cap dura lib retard,12/11/2012
budesonida,Astrazeneca,ENTOCORT ENEMA,116180097,"2,3mg",emul ret,12/11/2012
budesonida,Astrazeneca,PULMICORT,116180076,"0,25mg/mL",sus inal,12/11/2012
budesonida,Astrazeneca,PULMICORT,116180076,"0,50mg/mL",sus inal,12/11/2012
budesonida,Aché,BUSONID,112130173,100mcg/dose,sus aq nas,12/11/2012
budesonida,Aché,BUSONID,112130173,200mcg,"cap dura po inal or +inal",12/11/2012
budesonida,Aché,BUSONID,112130173,400mcg,"cap dura po inal or +inal",12/11/2012
budesonida,Aché,BUSONID,112130173,50mcg/dose,sus spr nas,12/11/2012
budesonida,Aché,BUSONID,112130173,100mcg/dose,sus  spr nas,12/11/2012
buflomedil (cloridrato),Abbott,BUFEDIL,105530013,150mg,com rev,12/11/2012
buflomedil (cloridrato),Abbott,BUFEDIL,105530013,300 mg,com rev,12/11/2012
bupivacaína (cloridrato),Hypofarma,CLORIDRATO DE BUPIVACAÍNA,103870053,5mg/mL,sol inj,12/11/2012
buprenorfina,Mundipharma,RESTIVA,191980002,5mg,ades,27/10/2017
buprenorfina,Mundipharma,RESTIVA,191980002,10mg,ades,27/10/2017
buprenorfina,Mundipharma,RESTIVA,191980002,20mg,ades,27/10/2017
bupropiona (cloridrato),Glaxosmithkline,WELLBUTRIN XL,101070238,150mg,com rev lib prol,12/11/2012
bupropiona (cloridrato),Glaxosmithkline,WELLBUTRIN XL,101070238,300mg,com rev lib prol,12/11/2012
bupropiona (cloridrato),Glaxosmithkline,WELLBUTRIN SR,101070238,150mg,com rev lib retard,12/11/2012
bupropiona (cloridrato),Glaxosmithkline,ZYBAN,101070272,150mg,com rev lib prol,12/11/2012
bussulfano,Lab. Pierre Fabre,BUSILVEX,101620250,6mg/ml,sol inj,30/11/2015
butenafina (cloridrato),Brainfarma,TEFIN,155840042,10mg/g,crem derm,12/11/2012
butoconazol (nitrato),Sigma Pharma,GYNAZOLE-1,135690028,20mg/g,crem vag,12/11/2012
cabazitaxel,Sanofi-Aventis,JEVTANA,113001098,40mg/ml,sol inj,23/09/2014
cabergolina,Wyeth,DOSTINEX,102160140,"0,5mg",com,12/11/2012
calcipotriol,Leo Pharma,DAIVONEX,185690003,50mcg/g,pom derm,29/07/2016
calcitonina (sintética de salmão),Novartis Biociências,MIACALCIC,100680050,100UI/mL,sol inj,12/11/2012
calcitonina (sintética de salmão),Novartis Biociências,MIACALCIC,100680050,200UI/dose,sol spr nas,12/11/2012
calcitriol,Abbvie,CALCIJEX,198600005,1mcg/mL,sol inj,24/01/2019
canaglifozina anidra,Janssen Cilag,INVOKANA,112363408,100mg,com rev,02/03/2017
canaglifozina anidra,Janssen Cilag,INVOKANA,112363408,300mg,com rev,02/03/2017
candesartana cilexetila,Astrazeneca,ATACAND,116180095,8mg,com,12/11/2012
candesartana cilexetila,Astrazeneca,ATACAND,116180095,16mg,com,12/11/2012
candesartana cilexetila,Astrazeneca,ATACAND,116180095,32mg,com,12/11/2012
capecitabina,Roche,XELODA,101000549,150mg,com rev,12/11/2012
capecitabina,Roche,XELODA,101000549,500mg,com rev,12/11/2012
captopril,Pharlab,CAPTOSEN,141070025,25mg,com,06/06/2013
captopril,Pharlab,CAPTOSEN,141070025,50mg,com,06/06/2013
captopril,Pharlab,CAPTOSEN,141070025,"12,5mg",com,10/12/2014
carbamazepina,Novartis Biociências,TEGRETOL,100680085,20mg/ml,sus or,12/11/2012
carbamazepina,Novartis Biociências,TEGRETOL,100680085,200mg,com,12/11/2012
carbamazepina,Novartis Biociências,TEGRETOL,100680085,400mg,com,12/11/2012
carbamazepina,Novartis Biociências,TEGRETOL CR,100680085,200mg,com desint lenta,12/11/2012
carbamazepina,Novartis Biociências,TEGRETOL CR,100680085,400mg,com desint lenta,12/11/2012
carboplatina,Pfizer,PLATAMINE CS,102160197,10mg/ml,sol inj,12/11/2012
carfilzomibe,Amgen,KYPROLIS,102440010,60mg,pó liof sol inj,30/08/2017
carvedilol,Libbs,CARDILOL,100330066,"3,125mg",com,30/08/2017
carvedilol,Libbs,CARDILOL,100330066,"6,25mg",com,06/05/2020
carvedilol,Libbs,CARDILOL,100330066,"12,5mg",com,06/05/2020
carvedilol,Libbs,CARDILOL,100330066,25mg,com,06/05/2020
caspofungina (acetato),Merck Sharp & Dohme,CANCIDAS,100290033,50mg,pó liof sol inj,12/11/2012
caspofungina (acetato),Merck Sharp & Dohme,CANCIDAS,100290033,70mg,pó liof sol inj,12/11/2012
cefadroxila,Eurofarma,CEFADROXILA,100430733,500 mg,cap dura,30/10/2018
cefadroxila,EMS S/A,CEFADROXILA,102350512,50 mg/ml,po sus or,30/10/2018
cefadroxila,EMS S/A,CEFADROXILA,102350512,100 mg/ml,po sus or,30/10/2018
cefalexina monoidratada,Antibióticos do Brasil,KEFORAL,155620001,500mg,cap dura,13/09/2013
cefalexina monoidratada,Laboratórios Bagó,KEFLEX,156260017,50mg/mL,sus or,12/11/2012
cefalexina monoidratada,Laboratórios Bagó,KEFLEX,156260017,"1,5g/15mL(100mg/mL)",po sol extemp,12/11/2012
cefalexina monoidratada,Laboratórios Bagó,KEFLEX,156260017,100mg/mL,sus or,12/11/2012
